objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"1812: The Invasion of Canada","94246","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","15599282","6.43117","7.33152","2.1756","1495","3179","thing","1812: The Invasion of Canada","2","5","120","120","60","2012","2,3,4,5","2,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"51st State","73369","7","0","0","1","0","0","0","0","0","0","0","3","","A decent, but not great, deck-builder set in the Neuroshima Hex universe. I like how each card can be used several ways, but it doesn't distinguish itself enough from the competition to stand out.","","","","19181296","6.21532","6.78079","3.1004","2168","3748","thing","51st State","2","4","90","90","40","2010","2,3,4","2,3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders","68448","9","0","0","1","0","0","0","0","0","0","0","3","","Drafting: The Game! Fast, scales to a large-ish group, and relatively teachable/learnable. Highly recommended.","","","","12368249","7.54976","7.66318","2.3145","115","155384","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","79600108","7.9533","8.07794","2.2275","24","183346","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders: Cities","111661","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","19181311","7.35313","7.79739","2.3439","0","31954","thing","7 Wonders: Cities","2","8","40","40","40","2012","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Leaders","92539","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","19181313","7.46253","7.81461","2.2742","0","37332","thing","7 Wonders: Leaders","2","7","40","40","40","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Ad Astra","38343","7","0","0","1","0","0","0","0","0","0","0","3","","Sort of a ""Settlers in Space"". I like the theme and I've enjoyed each game I've played but this one doesn't really stand out.","","","","19181506","6.2416","6.85","2.6781","2062","3046","thing","Ad Astra","3","5","60","60","60","2009","3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola","31260","8","0","0","1","0","0","0","0","0","0","0","1","","Yeah, it's as good as people say, but I always go hungry.","","","","8614509","7.72574","7.85852","3.6352","64","90074","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola: Farmers of the Moor","43018","7","0","0","1","0","0","0","0","0","0","0","1","","Access to more resources improves the feeling of the game and differing board layouts makes farms grow differently. Not a huge amount of extra complexity either, but I still prefer Le Havre.","","","","12853105","7.29943","8.04791","3.5601","0","15481","thing","Agricola: Farmers of the Moor","1","5","200","200","100","2009","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Alea Iacta Est","40760","7","0","0","1","0","0","0","0","0","0","0","3","","Sort of a Roman-themed Yahtzee. A good one when you want to roll a lot of dice.","","","","19181299","6.12028","6.62488","1.9107","2551","2907","thing","Alea Iacta Est","2","5","60","60","60","2009","2,3,4,5","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Alhambra: Big Box","45358","9","0","0","1","0","0","0","0","0","0","0","3","","This is one of my favorite Euros from the period, and the Big Box gives you enough variants and options that you'll never be able to exhaust them all. Great stuff.","","","","19181416","6.80936","7.48172","2.3383","0","10104","thing","Alhambra: Big Box","2","6","60","60","60","2009","2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Android","39339","7","0","0","1","0","0","0","0","0","0","0","3","","Typical FFG. Overcomplicated, overlong, overpriced, and dripping with science fiction theme.","","","","8064819","6.26096","6.7418","3.9621","1995","6425","thing","Android","3","5","180","180","180","2008","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
